id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22450843,Family apartment in upper-town Lisbon,75848043,André,Lisboa,Avenidas Novas,38.74115,-9.14572,Entire home/apt,120,3,1,2018-02-23,0.08,1,0
22453791,Simbioso: Quarto Bianco,125160431,Maria De Piedade,Cascais,Carcavelos e Parede,38.69579,-9.33862,Private room,50,2,0,,,2,168
22458570,Charming apartment in Chiado for 4 in Lisbon!,3212195,Cyda,Lisboa,Santa Maria Maior,38.71361,-9.14093,Entire home/apt,69,2,2,2018-05-15,0.20,3,225
22458743,"Black Diamond, T3 apt, near Avenida and Marques.",34663570,Andrea,Lisboa,Santo Antnio,38.72499,-9.14538,Entire home/apt,130,1,9,2018-12-29,0.66,20,348
22459220,"Quarto Magoito, no Centro Entre a Serra e o Mar",80763175,Hugo,Sintra,So Joo das Lampas e Terrugem,38.86685,-9.42982,Private room,30,4,1,2018-01-07,0.07,4,0
22459526,"Quarto ""Sintra"" no centro do Magoito, vista Serra",80763175,Hugo,Sintra,So Joo das Lampas e Terrugem,38.86778,-9.42989,Private room,30,2,0,,,4,0
22459643,"Quarto ""Azenhas do Mar"" no centro do Magoito",80763175,Hugo,Sintra,So Joo das Lampas e Terrugem,38.86639,-9.42979,Private room,30,2,2,2018-05-10,0.18,4,365
22459877,Sunny Studio in the Heart of Lisbon,6988354,Ana,Lisboa,Santa Maria Maior,38.71503,-9.13872,Entire home/apt,60,3,46,2019-02-05,3.54,1,205
22460236,ESTUDIO-SUITE LISBOA - Perto do Parque das Nações,86604121,Carla,Loures,Sacavm e Prior Velho,38.79522,-9.10538,Entire home/apt,40,1,14,2018-11-06,1.88,8,139
22460713,ESTÚDIO LAGOS -Perto Aeroporto/Altice Arena,86604121,Carla,Loures,Sacavm e Prior Velho,38.79494,-9.10413,Entire home/apt,35,1,37,2018-11-04,3.25,8,175
22461833,LxWay Apartments Travessa da Peixeira R/C,11707167,LxWay,Lisboa,Misericrdia,38.71315,-9.15226,Entire home/apt,60,2,3,2019-01-04,0.88,103,207
22463427,LxWay Apartments Travessa da Peixeira 1º Dto.,11707167,LxWay,Lisboa,Misericrdia,38.71138,-9.15071,Entire home/apt,110,2,3,2018-08-04,0.22,103,146
22464487,LxWay Apartments Santa Marta 3º Esq.,11707167,LxWay,Lisboa,Santo Antnio,38.72263,-9.14553,Entire home/apt,110,2,1,2018-02-04,0.08,103,83
22464743,LxWay Apartments Santa Marta 4º Esq.,11707167,LxWay,Lisboa,Santo Antnio,38.72307,-9.14605,Entire home/apt,110,2,2,2018-02-24,0.16,103,89
22465718,Apartamento no centro de Lisboa,143585784,Daniela,Lisboa,Santo Antnio,38.71954,-9.15459,Entire home/apt,51,3,17,2018-11-05,1.76,1,364
22466546,Apartamento Sant'Ana à lapa,30429169,Maria Teresa,Lisboa,Estrela,38.71136,-9.16377,Entire home/apt,250,3,0,,,1,87
22467073,NEW: Stylish home with view of sea & mountains,5093259,Laurent,Cascais,Cascais e Estoril,38.7027,-9.43664,Entire home/apt,45,5,14,2019-02-06,1.16,1,313
22468552,Pátio da Maria |  TERRACE & FREE INDOOR PARKING,164698261,Cabanas,Lisboa,Arroios,38.72478,-9.13262,Entire home/apt,59,3,41,2018-11-27,3.30,5,328
22477578,Lisbon Village Apartment,164799635,Nelson,Lisboa,So Vicente,38.71603,-9.126,Entire home/apt,90,3,37,2018-12-29,2.91,1,143
