id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22872793,Casa vacanze Rodrigo 15 - a 15 minuti dal Colosseo,169237568,Adriano,,I Centro Storico,41.89539,12.50998,Entire home/apt,51,2,38,2018-12-29,2.86,1,326
22873191,Top Floor Carbonara- attico al centro di Roma,62301975,Gisella,,VII San Giovanni/Cinecittà,41.8829,12.52342,Entire home/apt,150,3,5,2019-01-04,0.44,1,87
22873834,Tiny Studio with Terrace - Piazza del Popolo,36336593,Nicoletta,,I Centro Storico,41.90861,12.47782,Entire home/apt,65,3,60,2019-02-27,4.97,4,29
22875352,New Apartment in the heart of Trastevere,124989774,Sara,,I Centro Storico,41.88662,12.46966,Entire home/apt,100,2,49,2019-02-18,3.85,3,276
22875894,Appartamento al 412 di Via Prenestina,169265574,Claudio,,V Prenestino/Centocelle,41.89431,12.56401,Entire home/apt,55,2,4,2019-01-04,0.86,1,178
22876725,Luminoso Appartamento a San Lorenzo vicino Termini,134058051,Fauno,,II Parioli/Nomentano,41.89586,12.5131,Entire home/apt,69,1,16,2018-10-06,1.23,2,208
22877490,Campo dei Fiori luxury charming design apartment,9682734,Olimpia,,I Centro Storico,41.8955,12.47308,Entire home/apt,220,5,4,2018-06-03,0.36,1,325
22877874,Casa Flaminio in the heart of Rome,68240308,Luca,,II Parioli/Nomentano,41.92213,12.47109,Entire home/apt,90,4,14,2019-01-04,1.23,1,55
22881569,CHARMING SUITE TO TREVI FOUNTAIN,74758660,Rome Meet U,,I Centro Storico,41.90237,12.48879,Entire home/apt,130,2,51,2019-02-28,5.13,4,223
22892352,Apartment-R-S-Rome (in the Heart)x2/5,169430739,Federica,,I Centro Storico,41.90655,12.49488,Entire home/apt,55,1,48,2019-03-05,4.17,1,239
22892985,B&B Camera Singola Roma con bagno privato,168722296,Marco,,VII San Giovanni/Cinecittà,41.8787,12.51915,Private room,80,3,0,,,6,342
22893078,Pantheon Navona Apartment,169441507,Andrea,,I Centro Storico,41.89791,12.47526,Entire home/apt,99,1,3,2018-09-29,0.25,1,237
22894399,Camy's house,169319582,Stefania,,I Centro Storico,41.9076,12.45668,Entire home/apt,70,2,12,2019-01-01,1.01,1,268
22896797,Camera Polizzi Green Room,130298190,Martina,,I Centro Storico,41.90806,12.45009,Private room,65,2,0,,,3,0
22896875,Camera con due letti singoli wi-fi,169473959,Maria Silvia,,VII San Giovanni/Cinecittà,41.86912,12.52812,Private room,19,1,0,,,1,0
22896977,"Largo Alfredo Oriani, Monteverde Vecchio",167369925,Alessandra,,XII Monte Verde,41.8787,12.46181,Entire home/apt,60,1,15,2018-11-01,1.32,1,130
22897239,Camera Polizzi Azure Room,130298190,Martina,,I Centro Storico,41.9088,12.45018,Private room,60,2,1,2018-04-22,0.09,3,0
22899372,Lovely domus in Trastevere - fast WIFI!,169491843,Veronica,,I Centro Storico,41.88994,12.47273,Entire home/apt,50,2,25,2019-03-01,1.99,2,196
22900712,DELIZIOSO  CON  TERRAZZA SPECIAL PRICE  MARCH,168350304,Giovanna,,I Centro Storico,41.88093,12.47716,Entire home/apt,85,2,13,2019-01-02,1.76,1,291
22903142,Sleeps 8 - Modern and Luxurious 2br in Rome!,123922816,Alex,,I Centro Storico,41.90342,12.48566,Entire home/apt,80,2,14,2018-11-04,1.09,14,292
22904973,Trastevere Deluxe New Apartment,169543723,Alessandra&Valentina,,XII Monte Verde,41.87992,12.46741,Entire home/apt,70,2,62,2019-03-05,4.60,1,239
22906550,MODERN ROOM WITH PRIVATE BATHROOM INSIDE,167515928,Isabella,,I Centro Storico,41.90712,12.44881,Private room,75,1,5,2018-06-23,0.45,5,304
22911763,The PHOTOGRAPHER's Atelier @ COLOSSEO,4178449,Jo,,I Centro Storico,41.89065,12.4971,Private room,55,5,45,2019-03-04,3.90,2,152
22912823,Trastevere typical apartment in via Panieri,43144313,Mauro,,I Centro Storico,41.89142,12.46706,Entire home/apt,87,1,25,2019-03-01,2.04,19,290
22913975,St. Peter's Rooftops. A penthouse at the Vatican.,97066734,Flaminia,,XIII Aurelia,41.8951,12.43488,Entire home/apt,45,2,53,2019-01-02,4.10,1,104
